TODO: Also check REG_ANCHORINDEX vs. anchor	IMPLEMENTATION	0.9158161351985121	IMPLEMENTATION	0.0841838648014879	WITHOUT_CLASSIFICATION
skip header bytes maybe should check if they're valid or not?	IMPLEMENTATION	0.9993470749806915	WITHOUT_CLASSIFICATION	6.529250193084807E-4	IMPLEMENTATION
need to add static block here	IMPLEMENTATION	0.9968293177226865	WITHOUT_CLASSIFICATION	0.003170682277313604	IMPLEMENTATION
Parse the attribute type. [54] AttType ::= StringType | TokenizedType | EnumeratedType [55] StringType ::= 'CDATA' [56] TokenizedType ::= 'ID' | 'IDREF' | 'IDREFS' | 'ENTITY' | 'ENTITIES' | 'NMTOKEN' | 'NMTOKENS' [57] EnumeratedType ::= NotationType | Enumeration TODO: validate the type!!	IMPLEMENTATION	0.5244023154958746	WITHOUT_CLASSIFICATION	0.4755976845041255	IMPLEMENTATION
this convention may change...	IMPLEMENTATION	0.9998097401345076	WITHOUT_CLASSIFICATION	1.902598654923114E-4	IMPLEMENTATION
Need some format checking here	IMPLEMENTATION	0.9960446307287153	WITHOUT_CLASSIFICATION	0.003955369271284753	IMPLEMENTATION
implement the recursion for getClassImpl()	IMPLEMENTATION	0.998742965078344	WITHOUT_CLASSIFICATION	0.0012570349216559577	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9966543422481081	WITHOUT_CLASSIFICATION	0.003345657751891778	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9966543422481081	WITHOUT_CLASSIFICATION	0.003345657751891778	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9966543422481081	WITHOUT_CLASSIFICATION	0.003345657751891778	IMPLEMENTATION
Parse the XML declaration. <pre> [25] XMLDecl ::= '&lt;?xml' VersionInfo EncodingDecl? SDDecl? S? '?&gt;' [26] VersionInfo ::= S 'version' Eq ('"1.0"' | "'1.0'") [33] SDDecl ::= S 'standalone' Eq "'" ('yes' | 'no') "'" | S 'standalone' Eq '"' ("yes" | "no") '"' [78] EncodingDecl ::= S 'encoding' Eq QEncoding </pre> <p>([80] to [82] are also significant.) <p>(The <code>&lt;?xml</code> and whitespace have already been read.) <p>TODO: validate value of standalone. @see #parseTextDecl @see #checkEncoding	IMPLEMENTATION	0.9999893464323135	WITHOUT_CLASSIFICATION	1.0653567686562486E-5	IMPLEMENTATION
Parse an element-content model. [42] elements ::= (choice | seq) ('?' | '' | '+')? [44] cps ::= S? %cp S? [45] choice ::= '(' S? %ctokplus (S? '|' S? %ctoks) S? ')' [46] ctokplus ::= cps ('|' cps)+ [47] ctoks ::= cps ('|' cps) [48] seq ::= '(' S? %stoks (S? ',' S? %stoks) S? ')' [49] stoks ::= cps (',' cps) NOTE: the opening '(' and S have already been read. TODO: go over parameter entity boundaries more carefully.	IMPLEMENTATION	0.9662383259058269	WITHOUT_CLASSIFICATION	0.03376167409417298	IMPLEMENTATION
An output stream that compresses into the BZip2 format (without the file header chars) into another stream. TODO: Update to BZip2 1.0.1 @author <a href="mailto:keiron@aftexsw.com">Keiron Liddle</a>	IMPLEMENTATION	0.735376066389239	WITHOUT_CLASSIFICATION	0.2646239336107609	IMPLEMENTATION
Debug utils are static so that they are reachable by code that doesn'tnecessarily have an interpreter reference (e.g. tracing in utils).In the future we may want to allow debug/trace to be turned on ona per interpreter basis, in which case we'll need to use the parent reference in some way to determine the scope of the command that turns it on or off.	IMPLEMENTATION	0.9999795430834133	WITHOUT_CLASSIFICATION	2.045691658679185E-5	IMPLEMENTATION
onlyStatic	WITHOUT_CLASSIFICATION	0.9999702511741054	WITHOUT_CLASSIFICATION	2.97488258946595E-5	IMPLEMENTATION
onlyStatic	WITHOUT_CLASSIFICATION	0.9999702511741054	WITHOUT_CLASSIFICATION	2.97488258946595E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999702511741054	WITHOUT_CLASSIFICATION	2.97488258946595E-5	IMPLEMENTATION
Doing instanceof? Next node is a type.	WITHOUT_CLASSIFICATION	0.9999914988757824	WITHOUT_CLASSIFICATION	8.501124217689984E-6	IMPLEMENTATION
{{{ Inner classes	WITHOUT_CLASSIFICATION	0.9999124998769233	WITHOUT_CLASSIFICATION	8.750012307666175E-5	IMPLEMENTATION
{{{ ParentDirectoryRenderer class	WITHOUT_CLASSIFICATION	0.9999829091298453	WITHOUT_CLASSIFICATION	1.709087015467015E-5	IMPLEMENTATION
{{{ TableMouseHandler class	WITHOUT_CLASSIFICATION	0.99998714992406	WITHOUT_CLASSIFICATION	1.2850075940035163E-5	IMPLEMENTATION
{{{ mouseClicked() method	WITHOUT_CLASSIFICATION	0.9998918905065695	WITHOUT_CLASSIFICATION	1.0810949343056903E-4	IMPLEMENTATION
install man page	WITHOUT_CLASSIFICATION	0.9999697484629068	WITHOUT_CLASSIFICATION	3.025153709323932E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999702511741054	WITHOUT_CLASSIFICATION	2.97488258946595E-5	IMPLEMENTATION
